,proportion expt. gr reached,CO2_uptake,fixed biomass output,feasibility,nCO2RC,expt. gr reached,line_color
model_093,1.0682575915008785,1.7097061430104077,0.2542453067772091,1.0,45.9445794614821,1.0,1.0682575915008785
model_096,0.9870806677266957,1.900862846057862,0.23492519891895355,1.0,22.292591742697535,0.0,0.9870806677266957
model_097,1.0062788600102068,1.5286581325344741,0.2394943686824292,1.0,59.044731666365436,1.0,1.0062788600102068
model_100,0.9800394646823407,1.5043507879599929,0.2332493925943971,1.0,58.40968638138757,0.0,0.9800394646823407
model_101,1.0008200626820327,1.8825066080316901,0.23819517491832376,1.0,23.066499032035058,1.0,1.0008200626820327
model_102,0.9050444735214115,1.0679726116359234,0.21540058469809592,1.0,94.35734329034973,0.0,0.9050444735214115
model_104,0.9446427082642914,1.6869552005082369,0.22482496456690135,1.0,30.749716345680916,0.0,0.9446427082642914
model_105,1.0737164365127685,1.3087939266115427,0.2555445118900389,1.0,89.52746972217471,1.0,1.0737164365127685
model_108,0.92421341445297,1.3974068858660758,0.21996279263980686,1.0,63.339919463795326,0.0,0.92421341445297
model_109,1.0949268730357289,1.7755625718273222,0.2605925957825035,1.0,41.63102623882178,1.0,1.0949268730357289
model_111,1.0553279826417568,1.1785869714803994,0.2511680598687381,1.0,99.3756938765068,1.0,1.0553279826417568
model_112,0.9512987293303015,1.9579388736747205,0.22640909758061173,1.0,13.321326355113053,0.0,0.9512987293303015
model_113,1.0303419407457115,1.5797773762606084,0.24522138189747933,1.0,56.31273202860479,1.0,1.0303419407457115
model_116,0.9347323019057514,1.541547147091478,0.2224662878535688,1.0,47.84167806113512,0.0,0.9347323019057514
model_117,1.0586272180080416,1.9142036787234247,0.2519532778859139,1.0,25.104272589354853,1.0,1.0586272180080416
model_118,0.9597251089289784,1.2164510120637715,0.22841457592509687,1.0,86.20675469510834,0.0,0.9597251089289784
model_120,0.9899498650804163,1.7201232896186411,0.23560806788913907,1.0,33.36495507342781,0.0,0.9899498650804163
model_121,1.015909275226295,1.3474489660002291,0.24178640750385821,1.0,79.56212755318249,1.0,1.015909275226295
model_124,0.9663818383589388,1.2705404292792082,0.2299988775294274,1.0,81.6718984901621,0.0,0.9663818383589388
model_125,1.040258444659412,1.6431974526494741,0.24758150982894006,1.0,50.152276774876135,1.0,1.040258444659412
model_128,0.9091302994638683,1.8270440576598048,0.21637301127240063,1.0,20.789798309941308,0.0,0.9091302994638683
model_129,1.085010363161564,1.4543703151866794,0.25823246643245223,1.0,76.63005184413493,1.0,1.085010363161564
model_132,0.9304589284583926,1.4587361118756235,0.22144922497309744,1.0,57.15999010261168,0.0,0.9304589284583926
model_133,1.0511815452948214,1.8302084929309785,0.2501812077801675,1.0,28.595158992875547,1.0,1.0511815452948214
model_134,0.9554547064006329,1.1099252705462277,0.22739822012335062,1.0,95.638002581368,0.0,0.9554547064006329
model_136,0.9950534000992776,1.6390488506294787,0.23682270922362805,1.0,44.31324222154394,0.0,0.9950534000992776
